,Hotel_Name,Location,Address,Cost,Property_type,Likes,Rating,Review
535,Barton Guest Inn,Kubwa,"Kubwa, Abuja - Block 164 Sabo, Abuja, Kubwa","₦3,150",Barton Guest Inn,2,NA,NA
536,Standard Place Inn,Kubwa,"Kubwa, Abuja - Plot 134 Bazango Extension, Abuja, Kubwa,","₦4,000",Standard Place Inn,2,NA,NA
537,Godfather Place, Kubwa," Kubwa, Abuja - Plot 140 Godfather Raod, Opposite Dantata Old Arab...","₦2,500",Godfather Place,2,NA,NA
538,Madalla Hotel,Madalla,"Madalla, Abuja - Plot 6315 Suleja Road, Abuja, Madalla","₦3,500",Madalla Hotel,2,NA,NA
539,BBQ Hotels LImited,Lugbe,"Lugbe, Abuja -  Plot 300 Lugbe Phase 1, F.H.A, Lugbe, Abuja, Lugb...",NA,BBQ Hotels LImited,2,NA,NA
540,Frezitto Hotel,Karu,"Karu, Abuja - Plot 10, Mammy Boundary Road, Off Checkpoint Nyany...","₦4,000",Frezitto Hotel,2,NA,NA
541,Ceeco Guest Inn, Abuja," Abuja, Abuja - 1 Umeh Kabila Street, Abuja","₦5,000",Ceeco Guest Inn,2,NA,NA
542,Mayomi Guest House,Gwagwa,"Gwagwa, Abuja - Zone 4, Dutse Makaranta, Abuja, Gwagwa","₦3,000",Mayomi Guest House,2,NA,NA
543,New Standard Hotel, Mpape," Mpape, Abuja - Beside Mpape Clinic, Abuja, Mpape","₦4,000",New Standard Hotel,2,NA,NA
544,Florid Guest House,Nyanya,"Nyanya, Abuja - By Anglican Church Road, Abuja, Nyanya","₦1,300",Florid Guest House,2,NA,NA
545,Access Resort,Abuja,"Abuja, Abuja - Berger Quarry, Abuja",NA,Access Resort,2,NA,NA
546,Guidna Guest Inn,Kubwa,"Kubwa, Abuja - Behind Deeper Life Church, Abuja, Kubwa","₦2,250",Guidna Guest Inn,2,NA,NA
547,De Royal Cave Hotel,Mpape,"Mpape, Abuja - Along Jikoko Road, Abuja, Mpape","₦3,500",De Royal Cave Hotel,2,NA,NA
548,Mass Gate Resort Annex, Kubwa," Kubwa, Abuja - Transformer Line, Sokate Dutse Alhaji, Abuja, Kubw...","₦4,500",Mass Gate Resort Annex,2,NA,NA
549,Izy Kings Hotel,Nyanya,"Nyanya, Abuja - B73 Gbagalape Road, Abuja, Nyanya","₦2,500",Izy Kings Hotel,2,NA,NA
550,Old School Hotel,Nyanya,"Nyanya, Abuja - Old School Junction, Abuja, Nyanya","₦2,000",Old School Hotel,2,NA,NA
551,Standard Guest Inn,Mpape,"Mpape, Abuja - Berger Quarry Road, Abuja, Mpape","₦2,000",Standard Guest Inn,2,NA,NA
552,Canewood Hotels Limited Karu,Karu,"Karu, Abuja - Plot 217 And 224, Abuja, Old Karu","₦4,000",Canewood Hotels Limited Karu,2,NA,NA
553,Choice Guest House,Nyanya,"Nyanya, Abuja - Phase 1, Gbabalape, Opposite St. Pius X Catholic P...","₦2,000",Choice Guest House,2,NA,NA
554,Apa Resort Guest Inn,Orozo,"Orozo, Abuja - Orozo, Abuja, Orozo",NA,Apa Resort Guest Inn,2,NA,NA
555,Kingdom Heritage Guest House O'Neal Centre,Jabi,"Jabi, Abuja - Plot 360 Obafemi Awolowo Way Jabi District, Abuja,...","₦8,500",Kingdom Heritage Guest House O'Neal Centre,2,NA,NA
556,Mavida Lounge And Suites,Kubwa,"Kubwa, Abuja - C 16 Sultan Dasuki Way, Abuja, Kubwa","₦7,000",Mavida Lounge And Suites,2,NA,NA
557,Ayandosho Hotel And Suites,Gwarinpa,"Gwarinpa, Abuja - Dutse Bukuma,Tipper Garage Junction., Abuja, Gwari...",NA,Ayandosho Hotel And Suites,2,NA,NA
558,Egar Hotel,Jikwoyi,"Jikwoyi, Abuja - Plot 8, Angwon-Gede, Jikwoyi, Abuja",NA,Egar Hotel,2,NA,NA
559,Vatican Suites Hotel,Gwagwa,"Gwagwa, Abuja - Opposite Dei-Dei Market, Dei-Dei, Abuja, Gwagwa","₦4,500",Vatican Suites Hotel,2,NA,NA
560,Ben Guest House,Lugbe,"Lugbe, Abuja - Plot VL4 Lugbe, New Lay Out, Abuja, Lugbe","₦3,960",Ben Guest House,2,NA,NA
561,Manner Guest Inn,Gwagwa,"Gwagwa, Abuja - Dutse Makaranta, Abuja, Gwagwa",NA,Manner Guest Inn,2,NA,NA
562,Confidence Guest Inn,Gwagwa,"Gwagwa, Abuja -  Tashaz Gwagwa, Abuja, Gwagwa","₦4,000",Confidence Guest Inn,2,NA,NA
563,Eddydon Guest Inn,Mpape,"Mpape, Abuja - No 12 Obetta Street, Ajegunle Road, Abuja, Mpape","₦3,500",Eddydon Guest Inn,2,NA,NA
564,Sledge Lounge And Bar Limited,Kubwa,"Kubwa, Abuja -  1, Sledge Avenue, Abuja, Kubwa","₦5,000",Sledge Lounge And Bar Limited,2,NA,NA
565,Golden Petal Lodge,Orozo,"Orozo, Abuja - Plot 3-5, Golden Petal Lodge Crescent, Royal Palm ...","₦4,000",Golden Petal Lodge,2,NA,NA
566,Cool Palace Resort,Gwarinpa,"Gwarinpa, Abuja - Dutse Makaranta, Abuja, Gwarinpa",NA,Cool Palace Resort,2,NA,NA
567,Wisdom Guest House,Lugbe,"Lugbe, Abuja - Old Bwari Road, Abuja, Lugbe","₦5,000",Wisdom Guest House,2,NA,NA
568,Chelsea Hotel,Mpape,"Mpape, Abuja - Mashafa Road, Abuja, Mpape","₦3,500",Chelsea Hotel,2,NA,NA
569,Veragold,Jikwoyi,"Jikwoyi, Abuja -  Behind NEPA Office, Angwan Gede, Abuja, Jikwoyi","₦5,000",Veragold,2,NA,NA
570,Aso Hotel And Garden,Nyanya,"Nyanya, Abuja - Aso Road, Abuja, Nyanya","₦2,400",Aso Hotel And Garden,2,NA,NA
571,Make Peace Guest Inn,Kubwa,"Kubwa, Abuja - 135, Opposite Assemblies Of God, Ebazango, Kubwa","₦7,000",Make Peace Guest Inn,2,NA,NA
572,Labamba Resort Hotel,Mpape,"Mpape, Abuja - Along Berger Quarry Road, Abuja, Mpape","₦4,200",Labamba Resort Hotel,2,NA,NA
573,De-shedrach Hotels, Gbagslape," Gbagslape, Abuja - Phase 1, Gbagslape, Abuja","₦2,000",De-shedrach Hotels,2,NA,NA
574,Gallilee Hotel,Gwarinpa,"Gwarinpa, Abuja - Karu Site Federal Housing Gallilee Resort, Abuja, ...","₦3,600",Gallilee Hotel,2,NA,NA
575,Silas Integrated Guest House,Kurudu,"Kurudu, Abuja - Along Karshi Road, Kurudu, Abuja, Kurudu","₦3,000",Silas Integrated Guest House,2,NA,NA
576,Damal's Place,Gwarinpa,"Gwarinpa, Abuja - Plot 97 Dawaki, Abuja, Gwarinpa","₦3,000",Damal's Place,2,NA,NA
577,Jimson Executive Guest Inn,Nyanya,"Nyanya, Abuja - Jikwoyi Phase II, Cele Bus-stop, Jerry Bakery, Abu...","₦4,000",Jimson Executive Guest Inn,2,NA,NA
578,Henquest Rest Home,Kubwa,"Kubwa, Abuja - Plot 40 Bawango Layout Extension, Abuja, Kubwa","₦3,500",Henquest Rest Home,2,NA,NA
579,Peacock Hotel,Kubwa,"Kubwa, Abuja - No 26 ,Oduduwa Street, Abuja, Kubwa","₦4,500",Peacock Hotel,2,NA,NA
580,Unique Choice Resort,Lokoja-Kaduna,"Lokoja-Kaduna, Abuja - No 33 Lokoja-Kaduna Road","₦2,000",Unique Choice Resort,2,NA,NA
581,Milan Joe Hotel,Lugbe,"Lugbe, Abuja - Zaundan (Dei-Dei), Abuja, Lugbe","₦3,000",Milan Joe Hotel,2,NA,NA
582,Instambul Guest House,Orji,"Orji, Abuja - Off Orji Junction, Owerri, Orji","₦4,000",Instambul Guest House,2,NA,NA
583,Richway Hotels Limited,Nyanya,"Nyanya, Abuja - Plot 1292, Area A Extension, Opposite Lord's Chose...","₦2,600",Richway Hotels Limited,2,NA,NA
584,J.B Motel, Jikwoyi," Jikwoyi, Abuja - Jikwoyi Phase 2, Abuja, Jikwoyi",NA,J.B Motel,2,NA,NA
585,Oga Best Hotel, Kubwa," Kubwa, Abuja - Channel 8 Road, Behind Catholic Church, Abuja, Kub...",NA,Oga Best Hotel,2,NA,NA
586,Matt'Co Guest Inn,Mpape,"Mpape, Abuja - Plot 85 Jikoko Layout, Abuja, Mpape",NA,Matt'Co Guest Inn,2,NA,NA
587,Kaycee Valley Inn, Zone 1 Extension," Zone 1 Extension, Abuja - 13 Nachi Street, Zone 1 Extension",NA,Kaycee Valley Inn,2,NA,NA
588,Erica Jos Guest House,Kubwa,"Kubwa, Abuja - Plot 1 ",NA,Erica Jos Guest House,2,NA,NA
589,Mpape Transit Accommodation,Mpape,"Mpape, Abuja - Berger Gate, Abuja, Mpape",NA,Mpape Transit Accommodation,2,NA,NA
590,Dan-Yobe Guest Inn,Kubwa,"Kubwa, Abuja - Plot 68, Gbagango Layout, Abuja, Kubwa",NA,Dan-Yobe Guest Inn,2,NA,NA
591,Standard Guest Inn Annex,Mpape,"Mpape, Abuja - Along Ajegunle Road, Abuja, Mpape",NA,Standard Guest Inn Annex,2,NA,NA
592,Presido Holiday Inn,Mpape,"Mpape, Abuja - Berger Quarry Road, Abuja, Mpape",NA,Presido Holiday Inn,2,NA,NA
593,Roskel Guest House,Kubwa,"Kubwa, Abuja - Plot 22A, Phase 4, Kubwa",NA,Roskel Guest House,2,NA,NA
594,Garden City Guest Inn,Nyanya,"Nyanya, Abuja - Phase 4 Boundary Road, Abuja, Nyanya",NA,Garden City Guest Inn,2,NA,NA
595,Vatis Guest Inn,Mpape,"Mpape, Abuja - (Green Roof) Zast Borehole, Mashafi, Abuja, Mpape",NA,Vatis Guest Inn,2,NA,NA
596,De Packland Hotel, Nyanya," Nyanya, Abuja - Maraba Kabayi, Across River, Abuja, Nyanya",NA,De Packland Hotel,2,NA,NA
597,K-City Lodge,Karmu,"Karmu, Abuja - Opposite Abattoir, Abuja",NA,K-City Lodge,2,NA,NA
598,Travellers Guest Inn,Gwarinpa,"Gwarinpa, Abuja - House 170, Apo Zone B, Abuja, Gwarinpa",NA,Travellers Guest Inn,2,NA,NA
599,Mass Gate Resort,Kubwa,"Kubwa, Abuja - Transformer Line, Sokate Dutse Alhaji, Abuja, Kubw...",NA,Mass Gate Resort,2,NA,NA
600,Wood Marks Plaza And Suites,Jikwoyi,"Jikwoyi, Abuja - Jikwoyi Phase 1, Abuja, Jikwoyi",NA,Wood Marks Plaza And Suites,2,NA,NA
601,Rovak Guest Inn,Mpape,"Mpape, Abuja - 36 Johnson Street, Mpape",NA,Rovak Guest Inn,2,NA,NA
602,Gold Touch Grand Hotel,Kubwa,"Kubwa, Abuja - Off Gado Nasko Road, Kubwa",NA,Gold Touch Grand Hotel,2,NA,NA
603,Summer Guest House,Kubwa,"Kubwa, Abuja - Plot 125 Gado Nseko Road, Abuja, Kubwa",NA,Hotel,2,NA,NA
604,Regico Hotel Ltd,Kubwa,"Kubwa, Abuja - 1, NYSC Camp Road, Off Kubwa",NA,Regico Hotel Ltd,2,NA,NA
605,Accord Hotel And Resorts Limited,Kubwa,"Kubwa, Abuja - Plot K25, Sultan Dasuki, Abuja, Kubwa",NA,Accord Hotel And Resorts Limited,2,NA,NA
606,Springview Resorts ,Wuse 1,"Wuse 1, Abuja - Plot 285, Addis Ababa Crescent, Abuja, Wuse 1",NA,Springview Resorts ,2,NA,NA
607,Peackastel Royal Suite (Peackastel 2),Nyanya,"Nyanya, Abuja - Plot 2 Area A New Extention, Abuja, Nyanya",NA,Peackastel Royal Suite (Peackastel 2),2,NA,NA
608,Apache Hotels Ltd,Gwarinpa,"Gwarinpa, Abuja - Plot 13, Road 611,7th Avenue, Abuja, Gwarinpa",NA,Apache Hotels Ltd,2,NA,NA
609,Ajoy Hotel And Suites,Gwarinpa,"Gwarinpa, Abuja - Plot 757, 69a Road 2 Crescent, Gwarinpa Estate, Ab...",NA,Ajoy Hotel And Suites,2,NA,NA
610,"Duby's Suite, Dutse", Gwagwa," Gwagwa, Abuja - Dutse Makaranta, Abuja, Gwagwa",NA,"Duby's Suite, Dutse",2,NA,NA
611,"Duby's Suites, Nyanya",Nyanya,"Nyanya, Abuja - Plot 94 Area B, Last Road, Abuja, Nyanya",NA,"Duby's Suites, Nyanya",2,NA,NA
612,New Samaritan Guest Inn,Gwarinpa,"Gwarinpa, Abuja - Plot 55, 4th Avenue, Abuja, Gwarinpa",NA,New Samaritan Guest Inn,2,NA,NA
613,Hotel De Bentley,Utako,"Utako, Abuja - Plot 894, Ngozi Okonjo Iweala Street, Utako Distri...",NA,Hotel,2,NA,NA
614,Kasham Hotel Ltd,Nyanya,"Nyanya, Abuja - Behind Mopol Barracks, Area 'D', Nyanya, Abuja, Ny...",NA,Kasham Hotel Ltd,2,NA,NA
615,La Ropa Hotel,Gwarinpa,"Gwarinpa, Abuja - No 2, Off 1st Avenue, Gwarimpa Estate, Abuja, Gwar...",NA,La Ropa Hotel,2,NA,NA
616,"BON Hotel Grand Towers, ",,", Abuja - ",NA,"BON Hotel Grand Towers, ",1,NA,NA
617,Newland Luxury Apartments,Wuse,"Wuse, Abuja - No. 11 Koforeidua Street & Off Mumbollo Street, Wu...",NA,Hotel,1,NA,NA
618,IEC Villa Resort,Abuja ,"Abuja , Abuja - Plot 268, Cadastral Zone B02, Off Oladipo Diya Roa...",NA,Hotel,1,NA,NA
619,Beejay Suites & Garden,Gwarinpa,"Gwarinpa, Abuja - Plot 3-4, Road 22, A Close, 2nd Avenue, Gwarinpa E...",NA,Beejay Suites & Garden,1,NA,NA
620,Movida Lounge And Suites,Kubwa,"Kubwa, Abuja - C 16 Sultan Dasuki Way, Kubwa","₦7,000",Movida Lounge And Suites,1,NA,NA
621,All Point Suites & Hotel Ltd,Abuja,"Abuja, Abuja - ",NA,All Point Suites & Hotel Ltd,1,NA,NA
622,Womzy Tourist Hotel,Lugbe,"Lugbe, Abuja - Plot 312 Lugbe Layout 1, FHA Road. Off Airport Roa...",NA,Hotel,1,NA,NA
623,De-New Appertizer Restaurant / Guest House,Lugbe,"Lugbe, Abuja - Plot 983, 32nd Road 3rd Avenue FHA Estate By Baban...",NA,De-New Appertizer Restaurant / Guest House,1,NA,NA
624,Dilida Guest Suites,Jabi,"Jabi, Abuja - No 8 Ikechukwu Madubuike Close, Jabi ",NA,Hotel,1,NA,NA
625,The Grosvenor Suites And Apartments ,,", Abuja - ",NA,The Grosvenor Suites And Apartments ,1,NA,NA
626,SERENDIB HOTELS AND APARTMENTS,,", Abuja - ",NA,SERENDIB HOTELS AND APARTMENTS,1,NA,NA
627,House10,,", Abuja - ",NA,House10,1,NA,NA
628,ANGLICAN MISSION GUEST HOUSE,,", Abuja - ",NA,ANGLICAN MISSION GUEST HOUSE,1,NA,NA
629,EDDY-VIC HOTELS ABUJA,Garki 2,"Garki 2, Abuja -  Plot 466 Ahmadu Bello Way, Garki II, Abuja",NA,EDDY-VIC HOTELS ABUJA,1,NA,NA
630,Ganiyas Hotel,Abaji,"Abaji, Abuja - Lokoja-Abaji Express Road Abaji, Abaji",NA,Ganiyas Hotel,1,NA,NA
631,Pennsilvynia Ave Hotel,Utako,"Utako, Abuja - ",NA,Pennsilvynia Ave Hotel,1,NA,NA
632,Raudah Hotels,Utako,"Utako, Abuja - ",NA,Raudah Hotels,1,NA,NA
633,Links Hotel,Mabuchi,"Mabuchi, Abuja - Off Ngozi Okonjo Iweala Street, Abuja",NA,Links Hotel,1,NA,NA
634,Jesuit Continental Suites,Mabuchi,"Mabuchi, Abuja - HOUSE 1710 Opposite Directorate Of Vehicle Inspect...",NA,Jesuit Continental Suites,1,NA,NA
635,Town Hall Leisure Garden,Kuje,"Kuje, Abuja - Plot 1 Farmer Close, Behind Town Hall Leisure Gard...",NA,Town Hall Leisure Garden,1,NA,NA
636,Prime Rose Hotel,Kuje,"Kuje, Abuja - Kuje",NA,Prime Rose Hotel,1,NA,NA
637,Easy Platform,Kado,"Kado, Abuja - Plot 430 Cadastral Zone,off, Ahmadu Bello Way, Kad...",NA,Easy Platform,1,NA,NA
638,Shashilga Court,Kado,"Kado, Abuja - Plot 111 & 112 Sector Centre A, Jahi,, Eden Rd, Ka...",NA,Shashilga Court,1,NA,NA
639,Gayata Hotel,Abuja,"Abuja, Abuja - Amandugba Road, Abuja",NA,Gayata Hotel,1,NA,NA
640,Liberty Hotel And Suites ,Kubwa,"Kubwa, Abuja - Plot 829/830 Beside Bwari Police Station Action Ar...",NA,Liberty Hotel And Suites ,1,NA,NA
641,Asher Hotel,Kubwa,"Kubwa, Abuja - Hamza Abdullahi Rd, Kubwa, Abuja",NA,Asher Hotel,1,NA,NA
642,Commodore Suite,,", Abuja - ",NA,Commodore Suite,1,NA,NA
643,ANGLICAN MISSION GUEST HOUSE,,", Abuja - ",NA,ANGLICAN MISSION GUEST HOUSE,1,NA,NA
644,John,,", Abuja - ",NA,John,1,NA,NA
645,Gold Apartments And Suites,,", Abuja - ",NA,Gold Apartments And Suites,1,NA,NA
646,Sheer Luxury Jabi Apartments,Jabi,"Jabi, Abuja - ",NA,Sheer Luxury Jabi Apartments,1,NA,NA
647,Zeina Suites ,Maitama,"Maitama, Abuja - 54, Usuma Street, Maitama","₦20,000",Zeina Suites ,2,NA,NA
648,Gesse Hotel Abuja,,", Abuja - ",NA,Gesse Hotel Abuja,1,NA,NA
649,Jupiter Hotels,,", Abuja - ",NA,Jupiter Hotels,1,NA,NA
650,Silverland Hotel & Suite Limited,,", Abuja - ",NA,Silverland Hotel & Suite Limited,1,NA,NA
651,Noktel Apartment,,", Abuja - ",NA,Noktel Apartment,1,NA,NA
652,HOTEL ROSEBUD SUITES AND APARTMENT,,", Abuja - ",NA,HOTEL ROSEBUD SUITES AND APARTMENT,1,NA,NA
653,JAC Apartments,,", Abuja - ",NA,JAC Apartments,1,NA,NA
654,Newcastle Hotel Nigeria,,", Abuja - ",NA,Newcastle Hotel Nigeria,1,NA,NA
655,D'Franklin Apartment,,", Abuja - ",NA,D'Franklin Apartment,1,NA,NA
656,Adanma Hotels And Suites - House 11,,", Abuja - ",NA,Adanma Hotels And Suites - House 11,1,NA,NA
657,Global Place Guest Inn,,", Abuja - ",NA,Global Place Guest Inn,1,NA,NA
658,Grand Mirage Hotel Abuja,,", Abuja - ",NA,Grand Mirage Hotel Abuja,1,NA,NA
659,Little Mansion Apartments,,", Abuja - ",NA,Little Mansion Apartments,1,NA,NA
660,Best Premier Hotel ,,", Abuja - ",NA,Best Premier Hotel ,1,NA,NA
661,Graceville Comfort Residence,,", Abuja - ",NA,Graceville Comfort Residence,1,NA,NA
662,Plot 400 Luxury Apartments,,", Abuja - ",NA,Plot 400 Luxury Apartments,1,NA,NA
663,JVM Hotel,Mararaba,"Mararaba, Abuja - 147/149 Old Karu Road, Mararaba, Karu, Karu LGA, /...",NA,Hotel,1,NA,NA
664,SRH Western Hotel,,", Abuja - ",NA,SRH Western Hotel,1,NA,NA
665,Capital Apartment ,,", Abuja - ",NA,Capital Apartment ,1,NA,NA
666,Efab City Hotel,,", Abuja - ",NA,Efab City Hotel,1,NA,NA
667,Dalchifit Suites,,", Abuja - ",NA,Dalchifit Suites,1,NA,NA
668,LOIS HOTELS LTD ABUJA,,", Abuja - ",NA,LOIS HOTELS LTD ABUJA,1,NA,NA
669,Q'S Apartment,,", Abuja - ",NA,Q'S Apartment,1,NA,NA
670,Atelier Boutique Hotel,,", Abuja - ",NA,Atelier Boutique Hotel,1,NA,NA
671,Salaam Hospitality LTD,,", Abuja - ",NA,Salaam Hospitality LTD,1,NA,NA
672,The Royal Enclave,,", Abuja - ",NA,The Royal Enclave,1,NA,NA
673,Barcelona Apartment,,", Abuja - ",NA,Barcelona Apartment,1,NA,NA
674,Avery Hotel Abuja,,", Abuja - ",NA,Avery Hotel Abuja,1,NA,NA
675,Morrison Hotel Abuja,,", Abuja - ",NA,Morrison Hotel Abuja,1,NA,NA
676,Xcence Guest House,,", Abuja - ",NA,Xcence Guest House,1,NA,NA
677,Melofit Guest Inn,,", Abuja - ",NA,Melofit Guest Inn,1,NA,NA
678,Rimhills Hotel,,", Abuja - ",NA,Rimhills Hotel,1,NA,NA
679,Mat Maris Luxury Hotels,,", Abuja - ",NA,Mat Maris Luxury Hotels,1,NA,NA
680,Theophilla Resorts And Hotel,Bwari,"Bwari, Abuja - Plot 93, Zone 3 By Powerline, Bwari","₦5,000",Hotel,1,NA,NA
681,J'Adore Luxury Hotels,FCT,"FCT, Abuja - ",NA,J'Adore Luxury Hotels,1,NA,NA
682,Sylca Motel,Kuje,"Kuje, Abuja - Opposite GSS Kuje, Pasali, Kuje, Nigeria",NA,Sylca Motel,1,NA,NA
683,Paris Choice Hotel,Wuse,"Wuse, Abuja - 34 Kitiwe Street, Zone 4, Wuse",NA,Paris Choice Hotel,1,NA,NA
684,Pace Resort Guest House,Kuje,"Kuje, Abuja - Wowo Street, Kayada Primary School, Kuje",NA,Pace Resort Guest House,1,NA,NA
685,Happy Halls N Suites Hotel,Gwarinpa ,"Gwarinpa , Abuja - Plot 124 Gwarimpa 1, Life Camp Extension, Off Kado...",NA,Happy Halls N Suites Hotel,1,NA,NA
686,Paris Choice,Lugbe,"Lugbe, Abuja - Owena Cl, Lugbe",NA,Paris Choice,1,NA,NA
687,Masters Lodge And Guest Inn,Lugbe,"Lugbe, Abuja - Behind King Of Kings Academy, Along Environmental ...",NA,Masters Lodge And Guest Inn,1,NA,NA
688,Nuee Villa,Utako,"Utako, Abuja - 9 S. O Williams Crescent | Fct Utako District, Abu...",NA,Nuee Villa,1,NA,NA
689,PEACE MEDIA HOTELS,Lugbe,"Lugbe, Abuja -  Ring Road 4, Aviation Village, ",NA,PEACE MEDIA HOTELS,1,NA,NA
690,Kingsland Guest House And Resort ,Asokoro,"Asokoro, Abuja - By Guzape District , Kobi Makaranta, Asokoro Exten...",NA,Kingsland Guest House And Resort ,1,NA,NA
691,AGC Hotel,Gwarimpa ,"Gwarimpa , Abuja - 69 Road, Plot 1005, Gwarinpa",NA,AGC Hotel,1,NA,NA
692,Pavilla Apartment,Mabuchi,"Mabuchi, Abuja - 8 Usman Sarki Cres, Mabushi, Abuja",NA,Pavilla Apartment,1,NA,NA
693,Ace Premier Hotel,Garki,"Garki, Abuja - No. 1 Okemesi Crescent, Garki 11",NA,Ace Premier Hotel,1,NA,NA
694,White House Apartment &Suite,Kaura,"Kaura, Abuja - 650 Cadastral Zone B11, Games Village, Kaura",NA,White House Apartment &Suite,1,NA,NA
695,Josto Places Hotel,Kado,"Kado, Abuja - 252 Kado Cadastral, Kado",NA,Josto Places Hotel,1,NA,NA
696,Kifina Emerald Hotel,Kado,"Kado, Abuja -  Plot 361. Kado Water Park, Kado",NA,Kifina Emerald Hotel,1,NA,NA
697,Authentic Hotel & Suite,Lugbe,"Lugbe, Abuja - Catholic Church Road, Saburi Deidei, Lugbe",NA,Authentic Hotel & Suite,1,NA,NA
698,King's Summit Guest House,Kuje,"Kuje, Abuja - Plot 321/322 AAI Kayarda Extension Layout, Kuje",NA,King's Summit Guest House,1,NA,NA
699,MCE6 Lodge & Suites.,Lugbe,"Lugbe, Abuja - Near King Of Kings Academy No 2, 1 N Road Federal ...",NA,MCE6 Lodge & Suites.,1,NA,NA
700,PTD Hotels,Utako,"Utako, Abuja - 50 Moses Majekodunmi Street, Beside Big Joe Park, ...",NA,PTD Hotels,1,NA,NA
701,Desco Guest Inn,Gwarimpa ,"Gwarimpa , Abuja - 1, Jarawa Street, Gwarinpa",NA,Desco Guest Inn,1,NA,NA
702,Diplomatic Suites,Asokoro,"Asokoro, Abuja - 1, Hamza Abdullahi Close, Off Mamman Nasir Street,...",NA,Diplomatic Suites,1,NA,NA
703,Serendib Hotel & Suites,Wuse,"Wuse, Abuja - No 797 Ademola Adetokunbo Crescent(AP Plaza Juncti...",NA,Serendib Hotel & Suites,1,NA,NA
704,Zanzibar Guest House,Jabi,"Jabi, Abuja - No 19 Liverpool Close Suncity Estate Galadimawa, J...",NA,Zanzibar Guest House,1,NA,NA
705,Danvist Golden Guest Inn,Karu,"Karu, Abuja - Phase 1 APMA Village, New Nyanya, Karu,",NA,Danvist Golden Guest Inn,1,NA,NA
706,Jessin Bush Bar,Lokoja,"Lokoja, Abuja - Lokoja-Abuja Express Way, Kwali, ",NA,Jessin Bush Bar,1,NA,NA
707,Ofukowoicho Guest Inn,Karu,"Karu, Abuja - Plot 6 New Karu Road, By Ado Junction, Ado, Ado, K...",NA,Ofukowoicho Guest Inn,1,NA,NA
708,Restfine Suite,Karu,"Karu, Abuja - Church Road, New Karu, Karu,",NA,Restfine Suite,1,NA,NA
709,Sawame Kingsplace Hotel,Lugbe,"Lugbe, Abuja - Sanaje Resource Village, Km 3 Kuchigoro, Internati...",NA,Sawame Kingsplace Hotel,1,NA,NA
710,Simtino Hotel ,Bwari,"Bwari, Abuja -  Beside Dorben Polytechnic Bwari, Bwari",NA,Simtino Hotel ,1,NA,NA
711,The Nook Abuja,Gwarimpa ,"Gwarimpa , Abuja - 34 Oliver De Coque Street 3rd Avenue Gwarimpa",NA,The Nook Abuja,1,NA,NA
712,Vintage Peace Guest House,Kuje,"Kuje, Abuja - Plot 307A, Layout Extension, Kuje",NA,Vintage Peace Guest House,1,NA,NA
713,Affinity Residence,Kuje,"Kuje, Abuja -  Plot40 Aa3 Layout.adjacent Nnpc Filling Station, ...",NA,Affinity Residence,1,NA,NA
714,Airport Guest Inn Hotel, Kuje," Kuje, Abuja - Govt Girl's Secondary School [GGSS] Kuje Road, Kuj...",NA,Airport Guest Inn Hotel,1,NA,NA
715,Urban Rootz,,", Abuja - ",NA,Urban Rootz,1,NA,NA
716,Amodolak Guest Inn,Bwari,"Bwari, Abuja - Along Giwa Road Kuduru, Bwari",NA,Amodolak Guest Inn,1,NA,NA
717,Kodeland Holiday Apartment,,", Abuja - ",NA,Kodeland Holiday Apartment,1,NA,NA
718,Asher Terrace Hotel,Kubwa ,"Kubwa , Abuja - New Maitama, Plot 6 Hamza Abdullahi Rd, Kubwa",NA,Asher Terrace Hotel,1,NA,NA
719,Assie Hotel, Kuje," Kuje, Abuja - Plot 611, Along Kuchiyako Road, Kuje",NA,Assie Hotel,1,NA,NA
720,Brookville Hotel & Suite,Kubwa,"Kubwa, Abuja - Plot 553 Cadastral Zone, Gaduwa District",NA,Brookville Hotel & Suite,1,NA,NA
721,House9 Apartments,,", Abuja - ",NA,House9 Apartments,1,NA,NA
722,Tallin Luxury Resort Ltd.,,", Abuja - ",NA,Tallin Luxury Resort Ltd.,1,NA,NA
723,Camp Peace Hotel,Garki2,"Garki2, Abuja - Camp Peace Behind Police Station Saburi II Dei Dei...",NA,Camp Peace Hotel,1,NA,NA
724,Century 2 Motel,Bwari,"Bwari, Abuja - Opposite Nigeria Law School, Bwari",NA,Century 2 Motel,1,NA,NA
725,City Travels Inn,Garki,"Garki, Abuja - 8 Lokoja Street, Area 8, Garki",NA,City Travels Inn,1,NA,NA
726,City360 Hotel,Wuse,"Wuse, Abuja - Plot 797 Adetokunbo Ademola Crescent Wuse 2 Abuja ...",NA,City360 Hotel,1,NA,NA
727,Derrick Lounge Hotel,Karu,"Karu, Abuja - Finance Quarter, New Karu, New Karu",NA,Derrick Lounge Hotel,1,NA,NA
728,Fort-Ellis Hotel,Gwagwalada,"Gwagwalada, Abuja - Plot 113 Demonstration Road, Gwagwalada",NA,Fort-Ellis Hotel,1,NA,NA
729,Freshland Hotel Maraba ,Mararaba,"Mararaba, Abuja - 144 Road,, Karu, New Karu",NA,Freshland Hotel Maraba ,1,NA,NA
730,Garam City Hall,Bwari,"Bwari, Abuja - ",NA,Garam City Hall,1,NA,NA
